Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,5.5,5.3,5.3,5.4,5.5,5.1,5.2,5.0,5.0,5.0,5.0,4.9
2016,4.9,4.8,5.1,5.0,4.8,4.8,4.5,4.8,4.8,4.7,4.6,4.6
2017,4.7,4.6,4.3,4.5,4.4,4.3,4.2,4.3,4.2,4.0,4.1,4.1
2018,4.0,4.1,4.0,3.9,3.6,3.9,3.9,3.8,3.6,3.7,3.8,3.8
2019,3.9,3.8,3.7,3.5,3.6,3.6,3.7,3.5,3.4,3.4,3.6,3.6
2020,3.6,3.5,4.4,16.2,14.5,11.6,10.7,8.6,8.1,6.7,6.4,6.7
2021,6.4,6.1,5.9,5.9,5.5,5.7,5.2,4.9,4.5,4.5,4.2,3.9
2022,4.0,3.9,3.6,3.5,3.7,3.6,3.4,3.5,3.5,3.6,3.6,3.5
2023,3.3,3.5,3.4,3.4,3.6,3.4,3.3,3.5,3.4,3.6,3.4,3.6
2024,3.4,3.9,3.9,3.8,3.7,4.0,4.1,4.1,3.9,4.0,4.2,4.1
2025,4.0,4.1,4.1,4.0,4.2,3.9,4.1,4.2,4.4,,,
